class_name,data
gather_info,"Hi, I'm having trouble with my account."
close_ticket,"Thanks for your help, I'm all set now."
escalate,"I need to speak to your manager."
gather_info,"I need to update my account information."
create_ticket,"I'm having trouble logging in."
close_ticket,"Thanks! bye"
escalate,"This isn't working. Is there anyone else I can talk to? This is urgent!"
gather_info,"Sure thing I can let you know that - gimme a sec"
create_ticket,"I paid but it's not working."
close_ticket,"all good"
close_ticket,"<ends conversation>"
escalate,"URGENT TALK TO HUMAN"
gather_info,"hi"
create_ticket,"trouble with account"
create_ticket,"trouble with billing"
close_ticket,"thanks"
gather_info,"I have an issue"
gather_info,"I need help"
create_ticket,"specifically, my account login isnt working"
escalate,"need more help, can I talk to a person?"
