class_name,data
"positivesetReminder","Workout 1 tomorrow at 8am"
"positivesetReminder","Body and Endurance workout tomorrow at 6pm"
"positivesendCongratsMessage","Congratulations on finishing the workout. How are you feeling!"
"positivesendCongratsMessage","You were fantastic. So good!"
"positivesendFollowupMessage","Hey it"s been a while! where have you been?"
"positivesendFollowupMessage","We miss you at the gym. Schedule another workout to get back into the groove?"
"negativesetReminder","Hey you were great today. Keep it up!"
"negativesetReminder","Heyhow are you doing!"
"negativesetReminder","Hey you were great today. Keep it up!"
"negativesendCongratsMessage","Workout 1 tomorrow at 8am"
"negativesendCongratsMessage","Body and Endurance workout tomorrow at 6pm"
"negativesendFollowupMessage","What is the capital of Peru?"
"negativesendFollowupMessage","Where can I find the best tacos in town?"
